Species	Region	Strain	Sex	Replicate	Activitive_Post_30mins	Activitive_Post_1hr	Activitive_Post_2hr	Activitive_Post_4hr	Activitive_Post_24hr	uW/cm2	Date_UV	Vials_Date	Vial_Check	UV_start_(mins)	Total_MP4_Time	1st_felled	2nd_Felled	3rd_Felled	4th_felled	5th_felled	Temp_min	Temp_Max	Delta_Temp
Dyak	Island_Dyak	1.19.23	male	1	"0a,,,"	"0a,,,"	"0a,,,"	",1b,,"	",1b,,"	1943	3/11/2021	3/8/2021	Check	0.5	30:31:00	11.6	17.55	17.8	20.9	29.66666667	24.1	29.7	5.6
Dyak	Island_Dyak	1.19.23	female	1	"1a,,,"	"1a,,,"	"1a,,,"	",1b,,"	",2b,,"	1943	3/11/2021	3/8/2021	Check	0.5	30:31:00	24.01666667	24.16666667	25.36666667	29.4	29.98333333	24.1	29.7	5.6
Dyak	Island_Dyak	1.19.23	male	2	"0a,,,"	"0a,,,"	"0a,,,"	",4b,,"	",3b,,"	1943	3/11/2021	3/8/2021	Check	0.066666667	30:20:00	21.78333333	22.68333333	24.05	26.93333333	29.5	21.9	25.7	3.8
Dyak	Island_Dyak	1.19.23	female	2	"1a,,,"	",1b,,"	"1a,,,"	",3b,,"	",1b,,"	1943	3/11/2021	3/8/2021	Check	0.066666667	30:20:00	18.23333333	20.9	27.58333333	28	29.91666666	21.9	25.7	3.8
Dyak	Island_Dyak	1.19.23	male	3	"0a,,,"	"0a,,,"	",1b,,"	",2b,,"	"0a,,,"	1943	3/11/2021	3/8/2021	Check	0.133333333	30:53:00	14.85	15.78333334	18.71666667	19.23333334	20.63333334	22.2	23.9	1.7
Dyak	Island_Dyak	1.19.23	female	3	"0a,,,"	",2b,,"	",1b,,"	",1b,,"	",2b,,"	1943	3/11/2021	3/8/2021	Check	0.133333333	30:53:00	3.016666667	14.18333334	18.56666667	25.76666667	30.13333334	22.2	23.9	1.7
Dyak	Island_Dyak	1.19.23	male	4	",1b,,"	",1b,,"	",1b,,"	",1b,,"	"1a,2b,,"	1943	3/11/2021	3/8/2021	Check	0.133333333	30:53:00	19.35	20.86666667	25.1	25.43333334	30.13333334	22.2	23.9	1.7
Dyak	Island_Dyak	1.5	female	1	"0a,,,"	"1a,,,"	",1b,,"	",2b,,"	",3b,,"	1943	3/11/2021	3/8/2021	Check	0.133333333	30:53:00	17.91666667	21.43333334	22.13333334	23.26666667	25.71666667	22.2	23.9	1.7
Dyak	Island_Dyak	7.21.1	female	1	"0a,,,"	"0a,,,"	"0a,,,"	"0a,,,"	"0a,,,"	1943	3/11/2021	3/8/2021	Check	0.15	30:13:00	16.6	18	21.21666667	21.8	24.9	22.3	23.4	1.1
Dyak	Mainland_Dyak	Cameroon115	female	1	"1a,,,"	",1b,,"	"1a,,,"	",2b,,"	",2b,,"	1943	3/11/2021	3/8/2021	Check	0.15	30:13:00	20.13333333	21.18333333	21.25	22.06666667	29.6	22.3	23.4	1.1
